epoch,acc,jaccard_coef,jaccard_coef_int,loss,val_acc,val_jaccard_coef,val_jaccard_coef_int,val_loss
0,0.9287862538000015,0.24277565750869126,0.3029296684349851,0.17757834342781886,0.9279311046871346,0.2788495904941197,0.4434076004809069,0.17828033676973376
1,0.9376869185921625,0.31322338608123196,0.4144866492753103,0.14759000785744666,0.9387509829297924,0.30385863869696733,0.39935185666497247,0.14685321469187576
2,0.9404046802643432,0.33481105288380936,0.43828670251748814,0.1406571114071334,0.930635387100612,0.25405055123188497,0.2321533682946423,0.20195856258898207
3,0.9462890403046347,0.3791385820651264,0.4921086798185582,0.12720309646854389,0.943317722887083,0.35531401178510974,0.4341245720286492,0.13136500134277732
4,0.9496510677750883,0.4115896047009111,0.5285480754473925,0.11699452490804965,0.9496548367772599,0.4119235183211883,0.507717892225121,0.11877228767284682
5,0.950965800879368,0.4250265542889416,0.5425921939237746,0.11243991828703283,0.9494497387270482,0.4278525354010488,0.5529992541699029,0.11553341196660905
6,0.9524062144328552,0.43740774887836537,0.5552679799502171,0.10850495061683912,0.9523723481956451,0.45210743264997116,0.5754610397657619,0.10979669332423617
7,0.9536349378733031,0.44729571687101755,0.5656360249383755,0.105847289575139,0.9536496496813546,0.43717666032833724,0.5660969391566006,0.10651498807137971
8,0.9542870818559753,0.45271763796732084,0.5715177644727677,0.1042197500844218,0.9533429235340939,0.4366427425683271,0.5445029295184454,0.10660375352238124
9,0.9544997008652323,0.4557050595674147,0.5736716620084314,0.10347504056258708,0.9544661591114307,0.4734430100985567,0.5787962380700892,0.10502388002665988
10,0.9547077375807791,0.45711618633631845,0.5749468508409179,0.10296615918867477,0.9548638515446602,0.4758925617789706,0.5935753814583702,0.10353703159682644
11,0.9557057762355843,0.4655847033295344,0.5845310314329557,0.10051842100449164,0.9546459868893088,0.4576726217069871,0.5780728394027008,0.10451750860565892
12,0.9561660286132435,0.4690432759984248,0.5880791035631499,0.09948583902663771,0.9555420627935974,0.4771305081486218,0.5843321739901387,0.10414115582493226
13,0.9564306509196153,0.4722217864375221,0.5908554202814561,0.0984618863747906,0.95607502825044,0.4747291487995762,0.5838639314345643,0.10156632727957224
14,0.9566244262654634,0.47408343511573675,0.5928912864961411,0.09832721848744513,0.9536526769359315,0.46600303090151013,0.5896186573740917,0.10481990079353885
15,0.957371003456671,0.48052051122638934,0.5997775578789398,0.09625294128118855,0.9555406722067497,0.4634457164026888,0.5802369170969652,0.10155505847301793
16,0.9574703703317274,0.48132164387906334,0.6005182730723816,0.09596511771550595,0.9548023405191217,0.4710759849606412,0.5912775874783125,0.10282408703163931
17,0.9579022988001075,0.48466724411571194,0.6042817428294436,0.09515214102064022,0.9560513672228595,0.49318733871870335,0.5925591213777359,0.10153958925294296
18,0.9583176754985052,0.4893576081491598,0.6075649710224542,0.09400252056085506,0.9563601894533521,0.492157254715895,0.6046213347147218,0.10071831340718818
19,0.9584410768468878,0.489646174533188,0.6083216709548264,0.09367310743559512,0.954729732786367,0.4821911522354905,0.6034219170616831,0.10261544185981698
